                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.3719,                 5.3359,                 2.4688,                0.13476,                0.15236,                0.04012,                0.01388,                 2.8379,                 3.4959,                 2.2693,                 0.0766,                 0.0026,                 0.0026
                      1,                 2.6879,                 3.0263,                 1.9968,                0.21675,                0.36384,                0.15677,                0.05588,                 2.4516,                 3.0615,                 1.9473,               0.052248,              0.0052475,              0.0052475
                      2,                 2.3849,                  2.519,                 1.7146,                0.42359,                0.28996,                0.30115,                0.10364,                 2.2113,                 1.8557,                 1.7179,               0.027842,              0.0078416,              0.0078416
                      3,                 2.1559,                 2.2489,                 1.6158,                0.48389,                0.38909,                0.29657,                0.09146,                 2.3814,                 3.6761,                 1.7826,               0.009703,               0.009703,               0.009703
                      4,                 2.1113,                 2.0313,                 1.5603,                0.64127,                0.34459,                0.37726,                0.13227,                 2.1787,                  3.508,                 1.7129,               0.009703,               0.009703,               0.009703
                      5,                 2.0157,                 1.7416,                 1.5158,                0.54042,                0.35357,                0.34289,                0.11399,                 2.2851,                 2.1359,                 1.7934,               0.009604,               0.009604,               0.009604
                      6,                 1.9981,                 1.5943,                 1.4817,                0.56565,                 0.4104,                0.41811,                 0.1501,                 2.1876,                 1.6428,                 1.6953,               0.009505,               0.009505,               0.009505
                      7,                 1.9479,                 1.5059,                 1.3925,                0.59604,                0.50692,                  0.526,                0.17028,                 2.0826,                 1.8671,                 1.5664,               0.009406,               0.009406,               0.009406
                      8,                 1.8845,                 1.4572,                 1.3235,                0.54104,                0.41614,                0.46227,                0.14556,                 2.2422,                 1.9253,                 1.6285,               0.009307,               0.009307,               0.009307
                      9,                 1.8533,                 1.3929,                 1.3054,                0.54495,                0.45246,                 0.4628,                0.15396,                 2.2285,                 1.9036,                 1.4872,               0.009208,               0.009208,               0.009208
                     10,                 1.8564,                  1.375,                 1.2953,                0.57954,                0.40192,                0.42196,                0.15292,                 2.1667,                 1.5864,                 1.4954,               0.009109,               0.009109,               0.009109
                     11,                 1.8365,                 1.2869,                 1.2882,                0.63472,                0.53003,                0.56971,                0.19242,                 2.0715,                 1.4607,                 1.5574,                0.00901,                0.00901,                0.00901
                     12,                 1.8417,                 1.2856,                 1.2871,                0.66825,                0.51808,                0.57419,                0.20241,                 2.1293,                 1.3904,                 1.5198,               0.008911,               0.008911,               0.008911
                     13,                 1.7959,                 1.2546,                 1.2697,                0.68527,                0.50893,                0.57868,                0.19354,                 2.1934,                 1.3982,                 1.5442,               0.008812,               0.008812,               0.008812
                     14,                 1.7407,                 1.2521,                 1.2508,                0.79081,                0.50826,                0.58829,                0.22084,                  2.074,                 1.3565,                 1.5513,               0.008713,               0.008713,               0.008713
                     15,                  1.746,                 1.1883,                 1.2388,                0.68884,                0.50049,                0.54889,                0.21269,                 2.0994,                 1.3794,                 1.4818,               0.008614,               0.008614,               0.008614
                     16,                 1.7056,                 1.1902,                 1.2327,                0.73326,                0.56566,                0.58723,                0.21618,                 2.0681,                 1.4264,                 1.4447,               0.008515,               0.008515,               0.008515
                     17,                 1.7262,                 1.2018,                 1.2164,                0.63182,                0.55312,                0.55095,                0.22356,                 2.1542,                 1.4704,                 1.5121,               0.008416,               0.008416,               0.008416
                     18,                 1.6726,                 1.1167,                 1.1856,                0.66149,                0.58804,                0.55869,                0.19558,                 2.2136,                 1.4523,                 1.5151,               0.008317,               0.008317,               0.008317
                     19,                 1.7027,                 1.1332,                 1.2128,                0.62741,                0.45142,                0.49098,                0.20047,                 2.1729,                 1.4991,                 1.5041,               0.008218,               0.008218,               0.008218
                     20,                 1.6381,                 1.0784,                  1.164,                0.76014,                0.50625,                 0.5555,                0.20799,                 2.1159,                 1.3694,                 1.5134,               0.008119,               0.008119,               0.008119
                     21,                 1.6106,                 1.0437,                 1.1695,                0.62612,                0.53485,                0.53844,                0.22716,                  2.004,                  1.373,                 1.4427,                0.00802,                0.00802,                0.00802
                     22,                 1.6369,                  1.094,                 1.1729,                0.70522,                0.61496,                0.60787,                0.25814,                 1.9681,                 1.2571,                 1.4374,               0.007921,               0.007921,               0.007921
                     23,                 1.5855,                 1.0316,                 1.1791,                0.73201,                0.61429,                 0.6418,                0.24487,                 1.9863,                 1.2971,                 1.4511,               0.007822,               0.007822,               0.007822
